,title,brand,price,rating,reviewCount,description,categories
82,Men's Classic Fit T-Shirt,Veirdo,279,4.0,474,,Mens-wear
83,Men's Canada Flag Printed Cotton T-Shirt,ADRO,424,3.8,82,"This Summer Indian homegrown brand ADRO brings you the best quality 100% cotton Half Sleeve T-Shirts to keep you Stylish. Made in India Product for the Indian market at the Best Prices. Pair it with Jeans/Joggers or Shorts and this T-Shirt made of soft fabric will make other guys go green with envy. We at ADRO offers Top Quality casual wear in the widest variety which makes it easy to choose and at the prices that are easy to reach. ADRO products are made of Premium Fabrics which are Eco-Friendly to ensure the Best Quality and Great Comfort. ADRO deals in Men's Sweatshirts, Men's Printed T-Shirts, Full Sleeve T-Shirts, Polo T-Shirts, Hoodies for men. We also in plan to add Men's Shirts, Jeans and Chinos/Shorts to keep you updated with trends. ADRO - Keep Inventing",Mens-wear
84,Men's Regular Fit Polo Shirt,Allen Solly,859,2.6,2,Ace weekend dressing in this blue print Polo Neck T-shirt from Allen Solly by Allen Solly.,Mens-wear
85,N104 Men T-Shirt (N104M3_P$_Pack of 3),ACTIQUE,599,3.8,756,,Mens-wear
86,Men's' Regular Fit T-Shirt,Puma,749,3.9,27,FOR THE TRUE FAN - the Scuderia Ferrari Logo Tee carries the iconic Scuderia Ferrari wording horizontally on the side as an overseam print.Ferrari Shield TPU badge; Puma Cat Logo print; 'Scuderia Ferrari' wording horizontal overseam print; Ferrari woven tape sign-off; fabric interest,Mens-wear
87,Men's Cotton Regular Fit T-Shirt,Being Human,330,5.0,1,,Mens-wear
88,Men Blue Crew Neck Brand Print T-Shirt,U.S. POLO ASSN.,699,No reviews,,,Mens-wear
89,Men's Regular Fit Polo Shirt,Reebok,469,3.8,81,Polo neck style and has short sleeve. Button closure with regular fit,Mens-wear
90,Charles Leclerc Black Formula One F1 - Black - for Casual Motorsport Branded Street wear for Men and Women T-Shirt Clothing Merchandise,Dot Badges,649,No reviews,,,Mens-wear
91,"Men's Regular Fit Polo (Wally,Red,6XL)",Bigbanana,685,3.0,3,,Mens-wear
92,Men's Regular Fit T-Shirt,Adidas,629,3.9,14,"Adidas sells a range of clothing items, varying from men's and women's t-shirts, jackets, hoodies, pants and leggings. The adidas brand offers apparel for every sport, every fashion, every style, whether you are an athlete or fashionista. Regular fit: | single jersey: | small bos logo:heat transder",Mens-wear
